-285	1163	-3485
-102	1149	-3399
-167	999	-3204
-305	1001	-2915
-495	1097	-2652
-798	1007	-2485
-1002	812	-2336
-1028	663	-2144
-1093	599	-1929
-1011	572	-1679
-1057	310	-1428
-1108	24	-1157
-1031	-64	-852
-1017	-265	-526
-876	-316	-182
-766	-281	158
-750	-425	508
-705	-537	873
-568	-667	1197
-466	-803	1489
-357	-872	1771
-237	-999	2031
-210	-1200	2286
-88	-1351	2515
87	-1362	2733
100	-1423	2929
113	-1391	3103
251	-1207	3268
248	-958	3445
333	-667	3631
461	-492	3856
495	-448	4073
409	-549	4283
502	-540	4469
691	-555	4642
718	-881	4854
678	-1119	5067
599	-1235	5221
608	-1439	5345
827	-1654	5448
881	-1811	5533
659	-1896	5578
697	-1734	5598
537	-1702	5631
238	-1732	5611
268	-1274	5398
201	-233	5085
-151	629	4747
-159	1070	4499
-30	1220	4349
-13	891	4132
87	455	3947
208	377	3800
146	337	3668
246	312	3530
544	518	3359
834	776	3227
1121	837	3138
1326	748	3043
1367	540	2923
1361	236	2828
1156	-122	2725
832	-443	2611
684	-656	2487
846	-793	2267
1043	-858	1961
1172	-862	1612
1161	-800	1228
975	-643	812
820	-317	372
606	5	-95
228	-27	-515
24	-90	-894
-157	-56	-1220
-394	-37	-1486
-304	223	-1713
-85	550	-1981
-46	773	-2229
77	937	-2441
126	956	-2610
120	907	-2723
401	978	-2854
732	1093	-3018
770	1122	-3200
610	1049	-3356
394	903	-3435
189	728	-3466
143	581	-3475
214	478	-3498
298	471	-3550
334	501	-3625
309	507	-3697
390	504	-3743
540	495	-3794
504	434	-3835
287	451	-3875
154	499	-3919
-14	515	-3958
-98	594	-3964
8	720	-3995
41	733	-4029
33	780	-4085
113	852	-4184
32	777	-4225
-2	846	-4262
127	1000	-4332
40	874	-4382
-104	829	-4416
-213	858	-4466
-531	652	-4466
-750	607	-4429
-709	689	-4414
-796	498	-4387
-918	298	-4311
-810	341	-4241
-668	481	-4118
-643	652	-3885
-414	784	-3661
-265	737	-3475
-306	570	-3314
-158	366	-3145
-74	174	-2960
-163	151	-2759
-54	292	-2575
16	371	-2388
-33	256	-2192
-49	90	-1994
-65	-23	-1773
-53	-74	-1555
-6	-57	-1351
44	16	-1096
25	-43	-838
0	-189	-560
28	-237	-237
-19	-263	75
-88	-311	385
-72	-247	685
-100	-237	1007
-114	-213	1320
-23	-80	1644
-7	-22	1922
-146	-104	2194
-273	-151	2476
-323	-275	2731
-433	-396	3026
-446	-413	3362
-468	-509	3694
-466	-685	4029
-383	-832	4371
-344	-996	4699
-338	-1213	5020
-286	-1441	5300
-326	-1716	5547
-188	-1950	5734
-67	-2092	5879
-171	-2180	6008
8	-2031	6056
156	-1617	6064
169	-1158	6052
73	-920	6064
-363	-810	6056
-613	-502	5994
-405	38	5884
-549	416	5814
-442	701	5759
-44	924	5633
39	824	5497
-16	542	5351
207	478	5158
380	540	4966
543	645	4751
1061	1098	4511
1595	1341	4245
1763	1133	3986
1628	752	3751
1411	323	3495
1166	23	3264
772	-277	3038
591	-517	2764
759	-641	2391
803	-847	1934
735	-1169	1473
909	-1304	988
942	-1377	477
816	-1403	-36
634	-1244	-540
269	-992	-1005
-2	-739	-1453
-358	-429	-1848
-650	-40	-2159
-655	446	-2420
-583	767	-2610
-363	1044	-2749
-37	1334	-2897
156	1547	-3042
348	1733	-3190
409	1735	-3332
286	1613	-3445
147	1484	-3528
35	1293	-3597
-74	1106	-3694
-71	1055	-3809
-93	927	-3929
-153	801	-4021
-75	771	-4126
26	686	-4220
60	609	-4303
92	561	-4357
52	466	-4397
70	431	-4406
190	372	-4433
215	225	-4480
238	236	-4528
270	220	-4577
146	142	-4572
183	196	-4564
271	179	-4555
168	162	-4563
171	298	-4605
26	292	-4658
-210	367	-4675
-203	590	-4677
-376	642	-4680
-572	847	-4667
-599	1080	-4629
-805	958	-4541
-1036	898	-4419
-955	982	-4372
-962	985	-4351
-969	1129	-4263
-717	1426	-4130
-689	1631	-3964
-658	1729	-3746
-350	1619	-3515
-326	1335	-3271
-377	1001	-3006
-223	885	-2770
-177	1049	-2536
-103	1064	-2282
-215	733	-2003
-329	343	-1693
-337	50	-1381
-371	-159	-1041
-328	-308	-662
-268	-426	-298
-230	-493	43
-226	-552	396
-220	-623	743
-173	-674	1105
-232	-781	1427
-260	-848	1748
-248	-832	2048
-261	-884	2356
-159	-769	2659
-193	-561	2932
-363	-410	3221
-285	-261	3571
-228	-172	3961
-206	-291	4341
-220	-545	4706
-74	-859	5016
20	-1274	5245
-48	-1449	5502
-113	-1660	5813
79	-1962	6159
349	-2292	6421
469	-2671	6546
627	-2897	6618
441	-2902	6693
399	-2891	6794
709	-2598	6830
706	-2248	6777
724	-1956	6628
793	-1426	6429
439	-831	6264
354	-162	6093
429	571	5960
312	991	5830
333	1220	5621
665	1506	5375
829	1380	5074
1139	1199	4731
1278	924	4418
1054	558	4176
776	407	3949
883	455	3700
1085	625	3393
797	312	3024
505	-126	2660
531	-384	2156
489	-706	1613
544	-1213	1097
667	-1804	546
744	-2140	-20
659	-1963	-595
456	-1398	-1121
325	-771	-1583
101	-451	-2002
-183	-227	-2314
-148	96	-2537
7	568	-2714
6	898	-2810
89	1151	-2889
71	1177	-3008
-18	1048	-3089
147	1165	-3199
356	1237	-3349
371	1241	-3503
273	1329	-3659
34	1350	-3757
-113	1431	-3822
-42	1515	-3879
94	1497	-3982
292	1507	-4098
357	1414	-4214
291	1233	-4270
367	1101	-4310
387	875	-4339
373	722	-4393
368	595	-4447
258	450	-4479
236	418	-4503
195	338	-4529
63	332	-4532
52	494	-4569
-61	481	-4574
-164	585	-4590
-162	671	-4596
-307	578	-4613
-347	648	-4641
-428	636	-4677
-761	485	-4680
-804	546	-4656
-813	430	-4636
-1055	351	-4586
-944	582	-4551
-872	740	-4515
-1130	909	-4419
-928	1094	-4317
-705	1014	-4193
-720	916	-3973
-435	862	-3708
-292	758	-3464
-415	751	-3228
-412	903	-2972
-389	1233	-2738
-330	1368	-2475
-338	1202	-2208
-387	913	-1902
-327	643	-1568
-297	397	-1213
-187	141	-855
-149	-127	-508
-77	-268	-148
